Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
PD26412_6	0.0747014848205336	0.0407703373675515	0.338047976514163	0.15027940678047	0.396200794517282	0	0	0	3221
PD26412_4	0.0534245393903968	0.10908494030007	0.631684311993543	0.20580620831599	0	0	0	0	1820
PD26412_NA	0.0546455498408152	0.0912045102830714	0.301558522431176	0.237803274234941	0.16987974627373	0	0	0.144908396936267	1248
PD26412_2	0.0182644513822411	0.0235038450062766	0.156079455163665	0.404648851972254	0	0	0	0.397503396475563	225
PD26412_7	0.0424108512141634	0.0841323344522125	0.617097010335686	0.256359803997938	0	0	0	0	2058
PD26412_1	0.0369035306792832	0.0408150405518273	0.199966007788182	0.274594298739016	0.115828864420631	0	0	0.33189225782106	154
PD26412_5	0.0157782045064242	0.0490743165649529	0.315226222382112	0.250865637056563	0	0	0	0.369055619489948	2187
PD26415_16	0.0418249498756118	0	0.306673052081007	0	0.505092327703612	0	0.146409670339769	0	3062
PD26415_NA	0.0557010929012872	0	0.289904675390029	0	0.496753476517241	0	0.157640755191443	0	168
PD26415_15	0.0315443431560583	0	0.747665555853323	0	0	0	0.220790100990618	0	210
PD26416_5	0.0839806513087481	0.0377625289882344	0.545383630063946	0.180185017721474	0.152688171917597	0	0	0	3304
PD26416_2	0.0143577586518388	0.0341584552410872	0.81212277396791	0	0	0	0.139361012139164	0	804
PD26416_NA	0.0188218953445988	0.0430464229092681	0.580650400761253	0	0.144147629546414	0	0.213333651438466	0	301
PD26416_4	0.00601038505597747	0	0.645664057638374	0.194227176864423	0	0	0.154098380441226	0	713
PD26418_9	0.0365763276531244	0	0.533874962321867	0.20535879596195	0.224189914063058	0	0	0	5421
PD26418_5	0.000000000000000947190917140339	0	0.303662805676623	0.541186021683129	0.155151172640247	0	0	0	507
PD26418_4	0.0000159871545659729	0.0584018835325558	0.671659745527086	0.269922383785792	0	0	0	0	805
PD26418_8	0.000000545964965577114	0.0608691147023423	0.636635289450023	0.302495049882669	0	0	0	0	721
PD26418_2	0.0000000000000000000000000291791105476862	0.0333505097169882	0.326619992320861	0.640029497962151	0	0	0	0	148
PD26418_1	0.000000000000000000000000316998685013414	0	0.329474927758843	0.498094713489739	0.172430358751417	0	0	0	579
PD26418_3	0.000000288672491226691	0.041181796336613	0.643746979572402	0.315070935418494	0	0	0	0	292
PD26418_NA	0.0000169817464310856	0	0.55410897762596	0.286125333099323	0.159748707528286	0	0	0	1058
PD26419_5	0.0460285695248381	0.170293350857689	0.441427024068677	0.236704738372772	0	0.105546317176024	0	0	7445
PD26419_1	0.0159179174421624	0.0649626036002853	0.573178942742556	0.29374925622446	0	0.052191279990537	0	0	1714
PD26419_NA	0.0286372864845154	0.124780367230077	0.4365407337808	0.322153510023664	0	0.0878881024809441	0	0	1127
PD26420_5	0.0549932165243194	0.0466130583384235	0.484941295340458	0.221926300368524	0.191526129428275	0	0	0	3141
PD26420_2	0.00000000000000000000000146235173606713	0.0454512237541395	0.38357644490688	0.298440646781542	0.272531684557438	0	0	0	183
PD26420_NA	0.0143138745282735	0.0475167408123644	0.428466481395722	0.241957136536507	0.267745766727133	0	0	0	104
PD26422_5	0.0696851994022738	0.0450732929180807	0.525545243856455	0.176491421418464	0.183204842404726	0	0	0	2417
PD26422_4	0.013652125895604	0.0445728802091385	0.437881575307219	0.167604897472516	0	0	0	0.336288521115523	1762
PD26422_NA	0.0244047907513872	0.0353270713259928	0.363525218852157	0.26606160397193	0.146190242604641	0	0	0.164491072493892	285
PD26422_2	0.0130654146800387	0.0548056585452534	0.726100930998655	0.206027995776053	0	0	0	0	157
PD26423_8	0.0739189487668667	0.0374152848218646	0.613224959840862	0	0.133397670598528	0	0.142043135971878	0	3567
PD26423_NA	0.0312846860522733	0.0555147531051854	0.141412483837974	0.193300705279374	0.202285640857919	0	0	0.376201730867275	813
PD26423_7	0.0137441431962851	0.0364891447664099	0.145917615293508	0.171548063806762	0.183677364360189	0	0	0.448623668576847	2903
PD26423_6	0.00771921878234638	0.0414808313070172	0.0362917482067434	0.12598567880885	0.255331111118955	0	0	0.533191411776089	1128
PD26423_5	0.00274198405076608	0	0.0579373703254648	0.200170341063974	0.274063048722258	0	0	0.465087255837537	420
PD26423_3	0.0281410586101583	0.0581550276099223	0.103820920881364	0.283862804880849	0.26236225732113	0	0	0.263657930696577	347
PD26423_2	0.0253467270113654	0.0918741144460758	0.216376979770111	0.215617915668933	0.218663293394967	0	0	0.232120969708548	212
PD26424_3	0.0326487808295584	0.0597003633299737	0.302696488537321	0.120357744936618	0.484596622366529	0	0	0	6774
PD26424_1	0.0114101411833347	0.080542441202672	0.561356070862865	0.188083509052056	0.158607837699072	0	0	0	570
PD26424_NA	0.0251255396695503	0.0634075005826951	0.305290407172982	0.146669741483088	0.459506811091684	0	0	0	359
PD26425_4	0.0514250062155033	0.0295926181484647	0.405562206907389	0.163294769103453	0.35012539962519	0	0	0	4378
PD26425_1	0.00679895999623766	0.0346369809831937	0.490113568841965	0.241229797059818	0.125474126087645	0.101746567031141	0	0	582
PD26425_2	0.00986374715763661	0.0343717246502132	0.331776641908872	0.293331254961541	0.216840909707238	0.1138157216145	0	0	443
PD26425_3	0.0130434987081949	0.0568537460259636	0.559709605698649	0.235436792297883	0.13495635726931	0	0	0	269
PD26425_NA	0.0321563727894489	0.0673873290080311	0.39319699346321	0.147523628437854	0.239014066967398	0.120721609334058	0	0	423
PD26426_2	0.0566098385710537	0	0.481259516100944	0.177175486425424	0.148373339146472	0	0.136581819756107	0	8378
PD26426_1	0.0185304054407855	0	0.224431708784982	0.212828141557737	0.181414069904516	0	0.362795674311979	0	369
PD26426_NA	0.0272821903548357	0	0.605976181190436	0.26928014583572	0	0	0.0974614826190087	0	330
PD26427_4	0.0639392263721578	0	0.437194465755919	0.087045101738126	0.411821206133797	0	0	0	2807
PD26427_3	0.0168072274417063	0.0662222419393642	0.531396077535385	0.385574453083545	0	0	0	0	1259
PD26427_2	0.0138675656248625	0.0506209467121397	0.480861767439059	0.454649720223939	0	0	0	0	415
PD26427_NA	0.0178607797312579	0.0293821128688917	0.281199651155422	0.27287707919521	0.398680377049219	0	0	0	591
PD26428_2	0.0548045004317614	0.0544383863764755	0.422468151282893	0.24936489283913	0.218924069069739	0	0	0	2413
PD26428_4	0.0597338285814229	0	0.239263286844158	0	0.701002884574419	0	0	0	1300
PD26428_NA	0.0508413042277205	0.0332471311203217	0.228131625059508	0.305620268237409	0.382159671355041	0	0	0	186
PD26429_1	0.0784143928250595	0.0499972659234261	0.541313304666688	0	0.330275036584826	0	0	0	4398
PD26429_NA	0.0577663323500665	0.0522748825418328	0.495020956196051	0	0.39493782891205	0	0	0	205
PD26432_3	0.0750157042780323	0.0189252399536238	0.278764939122761	0	0.627294116645582	0	0	0	6537
PD26432_2	0.0464854514426664	0.0642183875722109	0.687595956861835	0.201700204123288	0	0	0	0	476
